date,product_type,region,customer_segment,total_volume_tons,total_revenue,total_margin,avg_final_price,avg_competitor_price,avg_inventory,avg_weather_index,margin_rate
2022-01-16,Corn,West,Food Processor,925.0,200466.0,52327.25,216.72,225.13,1897.0,1.01,0.2610280546327058
2022-01-16,Soybeans,Midwest,Commercial,966.0,459661.44,122672.34,475.84,480.71,2075.0,1.03,0.2668754203093477
2022-01-16,Soybeans,Midwest,Cooperative,1168.0,573394.56,117103.68,490.92,513.97,1931.0,0.99,0.2042287949156685
2022-01-16,Soybeans,Midwest,Exporter,1198.0,545042.08,144706.42,454.96,483.57,2377.0,0.85,0.2654958677685951
2022-01-16,Soybeans,Midwest,Food Processor,1082.0,531922.02,92175.58,491.61,513.76,2256.0,1.05,0.17328776875978927
2022-01-16,Soybeans,Northeast,Commercial,624.0,275277.6,73532.16,441.15,455.38,1084.0,1.06,0.26712002720163214
2022-01-16,Soybeans,Northeast,Cooperative,774.0,411311.34,61920.0,531.41,568.14,1176.0,1.05,0.15054289531623416
2022-01-16,Soybeans,Northeast,Exporter,681.0,336904.32,99521.34,494.72,474.48,920.0,0.97,0.2953994178525226
2022-01-16,Soybeans,Northeast,Food Processor,621.0,307724.13,75190.68,495.53,485.96,1204.0,1.19,0.2443444392872278
2022-01-16,Soybeans,South,Commercial,775.0,364389.5,83002.5,470.18,498.46,1890.0,0.92,0.22778510357735335
2022-01-16,Soybeans,South,Cooperative,667.0,297255.22,53613.46,445.66,447.95,1553.0,0.92,0.1803617107211776
2022-01-16,Soybeans,South,Exporter,939.0,427310.73,109496.79,455.07,423.66,1684.0,1.09,0.2562462917792867
2022-01-16,Soybeans,West,Commercial,609.0,295365.0,73073.91,485.0,445.39,1308.0,0.88,0.24740206185567012
2022-01-16,Soybeans,West,Cooperative,834.0,413146.92,117460.56,495.38,484.06,1560.0,1.07,0.28430699664903714
2022-01-16,Soybeans,West,Exporter,1012.0,472593.88,80039.08,466.99,468.97,1445.0,1.11,0.16936122829182637
2022-01-16,Soybeans,West,Food Processor,659.0,301696.79,61385.85,457.81,491.77,1610.0,1.02,0.20346868788361985
2022-01-16,Wheat,Midwest,Commercial,835.0,230668.75,38977.8,276.25,276.72,1813.0,0.98,0.16897737556561088
2022-01-16,Wheat,Midwest,Cooperative,1144.0,265774.08,74485.84,232.32,253.65,1754.0,1.17,0.28025998622589526
2022-01-16,Wheat,Midwest,Exporter,1105.0,259840.75,70896.8,235.15,246.05,1856.0,1.0,0.27284711886030194
2022-01-16,Wheat,Midwest,Food Processor,377.0,96202.86,20305.22,255.18,263.06,1626.0,0.66,0.211066698017086
2022-01-16,Wheat,Northeast,Commercial,568.0,149162.48,23918.48,262.61,273.65,1088.0,1.13,0.16035185255702372
2022-01-16,Wheat,Northeast,Cooperative,495.0,121344.3,24428.25,245.14,261.16,900.0,0.86,0.20131353512278696
2022-01-16,Wheat,Northeast,Exporter,665.0,172161.85,32578.35,258.89,268.64,1055.0,0.97,0.18923094750666306
2022-01-16,Wheat,Northeast,Food Processor,441.0,104393.52,24497.55,236.72,249.87,887.0,1.08,0.23466542750929367
2022-01-16,Wheat,South,Commercial,648.0,152843.76,42852.24,235.87,254.46,1332.0,0.99,0.2803663034722516
2022-01-16,Wheat,South,Cooperative,752.0,179314.4,47105.28,238.45,253.02,1485.0,0.94,0.26269658209268193
2022-01-16,Wheat,South,Exporter,770.0,196711.9,37283.4,255.47,251.9,1572.0,0.96,0.1895330175754492
2022-01-16,Wheat,South,Food Processor,548.0,145543.32,41220.56,265.59,276.54,1249.0,1.03,0.28321849467223914
2022-01-16,Wheat,West,Commercial,550.0,148203.0,41745.0,269.46,270.02,1038.0,1.09,0.28167446003117347
2022-01-16,Wheat,West,Cooperative,619.0,141961.46,31606.14,229.34,242.6,1363.0,1.04,0.22263887677683789
2022-01-16,Wheat,West,Exporter,556.0,152571.96,30363.16,274.41,262.99,1337.0,0.93,0.19900878247877266
2022-01-16,Wheat,West,Food Processor,500.0,124845.0,24660.0,249.69,271.97,1411.0,1.06,0.19752493091433376
2022-01-23,Canola,Midwest,Commercial,405.0,218963.25,47121.75,540.65,513.53,1195.0,1.06,0.2152039212059558
2022-01-23,Canola,Midwest,Cooperative,625.0,326731.25,70512.5,522.77,534.11,1048.0,0.9,0.2158119249383094
2022-01-23,Canola,Midwest,Exporter,618.0,328250.7,63623.1,531.15,545.87,1213.0,0.9,0.19382471994728417
2022-01-23,Canola,Northeast,Commercial,352.0,188344.64,35837.12,535.07,542.04,606.0,1.04,0.19027416973480105
2022-01-23,Canola,Northeast,Cooperative,327.0,177616.59,31395.27,543.17,531.94,332.0,1.14,0.17675865751053998
2022-01-23,Canola,Northeast,Exporter,421.0,233116.12,63857.28,553.72,553.22,732.0,1.1,0.27392906161959113
2022-01-23,Canola,Northeast,Food Processor,361.0,180590.25,33890.68,500.25,502.46,833.0,0.89,0.18766616691654173
2022-01-23,Canola,South,Commercial,383.0,189397.33,43773.07,494.51,505.38,780.0,0.92,0.23111767203898811
2022-01-23,Canola,South,Cooperative,468.0,231758.28,39007.8,495.21,497.64,856.0,1.19,0.168312433109186
2022-01-23,Canola,South,Exporter,564.0,300104.4,67623.6,532.1,541.27,787.0,1.04,0.22533358391279834
2022-01-23,Canola,South,Food Processor,393.0,216094.98,39127.08,549.86,552.35,1181.0,0.83,0.18106427090532135
2022-01-23,Canola,West,Commercial,454.0,219259.3,48246.58,482.95,534.42,623.0,1.06,0.2200434827621907
2022-01-23,Canola,West,Cooperative,405.0,221445.9,36737.55,546.78,539.46,607.0,0.95,0.16589853323091555
2022-01-23,Canola,West,Exporter,397.0,224668.81,35117.19,565.9164000000001,549.13,962.0,1.0,0.1563064761859913
2022-01-23,Canola,West,Food Processor,536.0,270771.12,63869.76,505.17,509.16,928.0,1.05,0.23588099055763406
2022-01-23,Corn,Midwest,Commercial,1732.0,362334.4,91068.56,209.2,220.59,2699.0,1.15,0.2513384321223709
2022-01-23,Corn,Midwest,Cooperative,1485.0,312013.35,48782.25,210.11,208.35,2961.0,0.99,0.15634667555090193
2022-01-23,Corn,Midwest,Exporter,1679.0,355578.62,82657.17,211.78,199.8,3065.0,0.91,0.2324582113514024
2022-01-23,Corn,Midwest,Food Processor,1144.0,230230.0,37054.16,201.25,206.94,3062.0,0.96,0.16094409937888202
2022-01-23,Corn,Northeast,Commercial,761.0,172039.27,50028.14,226.07,237.09,1784.0,0.97,0.2907948865395674
2022-01-23,Corn,Northeast,Cooperative,824.0,165022.48,47965.04,200.27,201.39,1584.0,0.96,0.2906576122234983
2022-01-23,Corn,Northeast,Exporter,584.0,125320.56,25871.2,214.59,224.81,1700.0,0.69,0.20644018826599564
2022-01-23,Corn,Northeast,Food Processor,288.0,56810.88,10791.36,197.26,197.92,1474.0,0.78,0.18995234715603773
2022-01-23,Corn,South,Commercial,1108.0,259659.8,48475.0,234.35,238.04,2137.0,1.02,0.18668657990185622
2022-01-23,Corn,South,Cooperative,1015.0,223350.75,35616.35,220.05,213.13,1885.0,0.84,0.15946375823676437
2022-01-23,Corn,South,Exporter,1312.0,252507.52,56219.2,192.46,181.33,2286.0,1.0,0.22264366621635664
2022-01-23,Corn,South,Food Processor,966.0,191760.66,34341.3,198.51,216.64,2060.0,0.97,0.17908417711954058
2022-01-23,Corn,West,Commercial,929.0,193380.64,37856.75,208.16,201.87,1799.0,1.0,0.19576287471176018
2022-01-23,Corn,West,Cooperative,990.0,206444.7,38243.7,208.53,214.77,1802.0,1.1,0.18524912482616407
2022-01-23,Corn,West,Exporter,1107.0,220093.74,63785.34,198.82,196.39,1879.0,1.01,0.289809878281863
2022-01-23,Corn,West,Food Processor,615.0,129648.15,36838.5,210.81,215.66,1619.0,0.76,0.28414211849532756
2022-01-23,Soybeans,Midwest,Commercial,1075.0,491866.25,131676.75,457.55,474.21,2247.0,1.0,0.26770844716424436
2022-01-23,Soybeans,Midwest,Cooperative,1141.0,521037.65,118150.55,456.65,478.5,2094.0,0.98,0.22676010073360342
2022-01-23,Soybeans,Midwest,Exporter,1597.0,759932.45,183016.2,475.85,508.43,2129.0,1.18,0.24083219501943892
2022-01-23,Soybeans,Midwest,Food Processor,984.0,496880.64,86395.2,504.96,492.73,2484.0,1.22,0.17387515842839035
2022-01-23,Soybeans,Northeast,Commercial,750.0,337747.5,64417.5,450.33,504.51,1346.0,1.08,0.19072680034641262
2022-01-23,Soybeans,Northeast,Cooperative,665.0,283575.95,75989.55,426.43,456.05,1356.0,0.92,0.2679689515278006
